year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",2753.0,769.0,226.44,7.5,134.65,1.5,398.91,34.0,1.0,35049.0,9457.0,767.0,4966.0,32.0,19827.0
2023,8,WN,Southwest Airlines Co.,LBB,"Lubbock, TX: Lubbock Preston Smith International",234.0,51.0,23.0,0.33,3.29,0.0,24.38,0.0,0.0,2234.0,899.0,24.0,148.0,0.0,1163.0
2023,8,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",1085.0,246.0,91.62,5.06,66.91,0.0,82.41,12.0,3.0,9574.0,3568.0,265.0,2173.0,0.0,3568.0
2023,8,WN,Southwest Airlines Co.,LGB,"Long Beach, CA: Long Beach Airport",1316.0,250.0,73.33,0.55,41.67,0.47,133.98,38.0,1.0,9503.0,2580.0,70.0,1251.0,8.0,5594.0
2023,8,WN,Southwest Airlines Co.,LIH,"Lihue, HI: Lihue Airport",372.0,65.0,18.08,0.78,13.67,0.86,31.62,1.0,2.0,2516.0,684.0,145.0,433.0,30.0,1224.0
2023,8,WN,Southwest Airlines Co.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",209.0,60.0,22.3,0.0,3.39,0.0,34.32,0.0,0.0,2608.0,864.0,0.0,113.0,0.0,1631.0
2023,8,WN,Southwest Airlines Co.,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",344.0,49.0,18.32,0.19,4.54,0.0,25.95,2.0,0.0,2158.0,882.0,15.0,174.0,0.0,1087.0
2023,8,WN,Southwest Airlines Co.,MCI,"Kansas City, MO: Kansas City International",2234.0,535.0,165.12,8.99,82.63,1.83,276.43,19.0,3.0,25452.0,7455.0,694.0,2770.0,113.0,14420.0
2023,8,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3265.0,756.0,212.87,17.83,196.65,1.95,326.69,40.0,14.0,38811.0,10766.0,1704.0,9547.0,78.0,16716.0
2023,8,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",7159.0,1569.0,421.79,22.67,301.75,5.36,817.44,88.0,17.0,77003.0,18773.0,1630.0,13208.0,297.0,43095.0
2023,8,WN,Southwest Airlines Co.,MEM,"Memphis, TN: Memphis International",287.0,80.0,37.61,1.73,8.41,1.0,31.24,2.0,0.0,4262.0,1959.0,74.0,363.0,70.0,1796.0
2023,8,WN,Southwest Airlines Co.,MHT,"Manchester, NH: Manchester Boston Regional",242.0,77.0,28.33,1.26,12.44,1.0,33.96,3.0,1.0,3477.0,1188.0,226.0,459.0,33.0,1571.0
2023,8,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",453.0,133.0,39.25,3.33,37.07,0.0,53.35,2.0,0.0,6885.0,1589.0,408.0,2218.0,0.0,2670.0
2023,8,WN,Southwest Airlines Co.,MKE,"Milwaukee, WI: General Mitchell International",752.0,205.0,60.21,3.34,31.8,0.0,109.65,11.0,0.0,10257.0,2829.0,354.0,1266.0,0.0,5808.0
2023,8,WN,Southwest Airlines Co.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",695.0,186.0,74.45,2.27,20.5,0.0,88.78,3.0,1.0,8344.0,2931.0,219.0,810.0,0.0,4384.0
2023,8,WN,Southwest Airlines Co.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",1587.0,326.0,108.08,4.57,42.57,1.0,169.79,14.0,5.0,15393.0,4488.0,367.0,1744.0,17.0,8777.0
2023,8,WN,Southwest Airlines Co.,MTJ,"Montrose/Delta, CO: Montrose Regional",31.0,7.0,3.48,0.0,0.09,0.0,3.43,0.0,0.0,181.0,78.0,0.0,3.0,0.0,100.0
2023,8,WN,Southwest Airlines Co.,MYR,"Myrtle Beach, SC: Myrtle Beach International",256.0,72.0,28.3,0.51,8.27,0.0,34.92,2.0,0.0,3182.0,927.0,20.0,465.0,0.0,1770.0
2023,8,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metro Oakland International",3375.0,778.0,215.09,3.28,72.01,2.3,485.33,70.0,0.0,36022.0,9702.0,306.0,2355.0,39.0,23620.0
2023,8,WN,Southwest Airlines Co.,OGG,"Kahului, HI: Kahului Airport",744.0,130.0,47.4,0.95,58.7,1.0,21.94,5.0,1.0,5806.0,2486.0,143.0,1895.0,30.0,1252.0
2023,8,WN,Southwest Airlines Co.,OKC,"Oklahoma City, OK: Will Rogers World",608.0,159.0,49.83,3.46,23.68,0.0,82.02,5.0,1.0,7403.0,2113.0,173.0,912.0,0.0,4205.0
2023,8,WN,Southwest Airlines Co.,OMA,"Omaha, NE: Eppley Airfield",653.0,168.0,63.73,1.81,24.0,1.0,77.47,6.0,0.0,7365.0,2685.0,138.0,920.0,27.0,3595.0
2023,8,WN,Southwest Airlines Co.,ONT,"Ontario, CA: Ontario International",1030.0,245.0,80.1,1.73,28.46,1.0,133.7,40.0,0.0,11799.0,3499.0,108.0,1267.0,16.0,6909.0
2023,8,WN,Southwest Airlines Co.,ORD,"Chicago, IL: Chicago O'Hare International",851.0,231.0,69.12,1.7,91.26,0.67,68.26,16.0,4.0,10133.0,3075.0,99.0,3615.0,10.0,3334.0
2023,8,WN,Southwest Airlines Co.,ORF,"Norfolk, VA: Norfolk International",256.0,76.0,32.92,0.98,8.39,0.0,33.71,2.0,1.0,3044.0,1069.0,51.0,364.0,0.0,1560.0
2023,8,WN,Southwest Airlines Co.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",177.0,37.0,12.25,0.0,14.56,0.0,10.19,1.0,1.0,2002.0,725.0,0.0,758.0,0.0,519.0
2023,8,WN,Southwest Airlines Co.,PDX,"Portland, OR: Portland International",1034.0,237.0,75.81,2.71,25.05,1.67,131.75,7.0,1.0,10781.0,2950.0,328.0,813.0,189.0,6501.0
2023,8,WN,Southwest Airlines Co.,PHL,"Philadelphia, PA: Philadelphia International",390.0,104.0,41.72,1.7,21.77,1.0,37.81,3.0,1.0,4620.0,1747.0,113.0,886.0,23.0,1851.0
2023,8,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5263.0,1096.0,321.36,9.48,160.66,6.12,598.37,107.0,24.0,50743.0,14890.0,826.0,6201.0,345.0,28481.0
2023,8,WN,Southwest Airlines Co.,PIT,"Pittsburgh, PA: Pittsburgh International",844.0,211.0,71.29,5.14,27.46,0.5,106.61,11.0,4.0,9652.0,2997.0,251.0,935.0,10.0,5459.0
2023,8,WN,Southwest Airlines Co.,PNS,"Pensacola, FL: Pensacola International",186.0,31.0,7.85,2.0,8.55,0.0,12.6,0.0,1.0,1205.0,238.0,45.0,464.0,0.0,458.0
2023,8,WN,Southwest Airlines Co.,PSP,"Palm Springs, CA: Palm Springs International",180.0,33.0,10.09,0.0,7.73,0.0,15.17,10.0,0.0,1479.0,546.0,0.0,316.0,0.0,617.0
2023,8,WN,Southwest Airlines Co.,PVD,"Providence, RI: Rhode Island Tf Green International",418.0,121.0,48.01,2.26,17.22,0.0,53.52,10.0,0.0,5643.0,1848.0,99.0,819.0,0.0,2877.0
2023,8,WN,Southwest Airlines Co.,PWM,"Portland, ME: Portland International Jetport",151.0,55.0,24.8,0.0,7.83,0.0,22.37,1.0,0.0,2165.0,930.0,0.0,261.0,0.0,974.0
2023,8,WN,Southwest Airlines Co.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",750.0,209.0,66.38,3.12,42.96,2.1,94.45,8.0,1.0,8808.0,2562.0,213.0,1693.0,66.0,4274.0
2023,8,WN,Southwest Airlines Co.,RIC,"Richmond, VA: Richmond International",145.0,32.0,13.19,1.78,4.72,0.0,12.32,0.0,0.0,1553.0,434.0,97.0,368.0,0.0,654.0
2023,8,WN,Southwest Airlines Co.,RNO,"Reno, NV: Reno/Tahoe International",772.0,204.0,56.79,1.7,17.07,0.0,128.43,18.0,0.0,9067.0,2351.0,170.0,760.0,0.0,5786.0
2023,8,WN,Southwest Airlines Co.,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",172.0,53.0,23.74,1.01,6.81,0.0,21.44,1.0,0.0,2287.0,822.0,130.0,325.0,0.0,1010.0
2023,8,WN,Southwest Airlines Co.,RSW,"Fort Myers, FL: Southwest Florida International",481.0,105.0,30.74,4.12,17.51,0.0,52.62,9.0,4.0,5178.0,1118.0,412.0,991.0,0.0,2657.0
2023,8,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",3093.0,748.0,210.0,4.79,163.05,0.54,369.62,142.0,7.0,33922.0,9370.0,421.0,6303.0,21.0,17807.0
2023,8,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",1379.0,316.0,110.28,3.44,45.52,1.48,155.28,12.0,1.0,15054.0,4976.0,341.0,1533.0,33.0,8171.0
2023,8,WN,Southwest Airlines Co.,SAV,"Savannah, GA: Savannah/Hilton Head International",208.0,34.0,11.66,0.0,12.64,0.0,9.7,5.0,1.0,1354.0,447.0,0.0,492.0,0.0,415.0
2023,8,WN,Southwest Airlines Co.,SBA,"Santa Barbara, CA: Santa Barbara Municipal",178.0,33.0,8.49,0.0,4.67,0.0,19.84,1.0,0.0,1484.0,520.0,0.0,185.0,0.0,779.0
2023,8,WN,Southwest Airlines Co.,SDF,"Louisville, KY: Louisville Muhammad Ali International",395.0,96.0,37.16,0.0,13.6,0.0,45.24,5.0,1.0,4792.0,1655.0,0.0,654.0,0.0,2483.0
2023,8,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",875.0,245.0,84.86,6.22,46.83,0.0,107.1,4.0,3.0,11656.0,3804.0,845.0,1695.0,0.0,5312.0
2023,8,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",772.0,260.0,58.07,4.79,70.22,0.11,126.81,18.0,0.0,13316.0,2470.0,485.0,3082.0,2.0,7277.0
2023,8,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",3009.0,647.0,199.62,1.28,62.78,0.0,383.32,66.0,0.0,30493.0,8530.0,65.0,2309.0,0.0,19589.0
2023,8,WN,Southwest Airlines Co.,SJU,"San Juan, PR: Luis Munoz Marin International",335.0,107.0,43.97,1.44,9.64,0.88,51.07,3.0,0.0,4991.0,1621.0,118.0,371.0,15.0,2866.0
