airport,flights,delayed,delay_min,delay_rate,avg_delay_min_per_arrival
SAT,15030.0,3575.0,177579.0,0.23785761809713907,11.81497005988024
SAV,2374.0,589.0,28336.0,0.2481044650379107,11.935973041280539
SBA,2093.0,443.0,21888.0,0.21165790731008122,10.457716196846631
SDF,4308.0,1053.0,54956.0,0.24442896935933148,12.75673166202414
SEA,8506.0,1985.0,93132.0,0.23336468375264519,10.94897719256995
SFO,8749.0,2751.0,139633.0,0.31443593553548976,15.959881129271917
SJC,34562.0,6830.0,314619.0,0.19761587871072275,9.103032231931023
SJU,3651.0,1110.0,61910.0,0.3040262941659819,16.956998082717064
SLC,11612.0,2816.0,136855.0,0.24250775060282467,11.785652772993455
SMF,32203.0,6821.0,321635.0,0.21181256404682794,9.98773406204391
SNA,16674.0,3682.0,157549.0,0.22082283795130142,9.448782535684298
SRQ,4394.0,1079.0,56766.0,0.2455621301775148,12.918980427856168
STL,36920.0,7657.0,395667.0,0.2073943661971831,10.716874322860239
SYR,1145.0,311.0,14488.0,0.27161572052401745,12.653275109170306
TPA,23887.0,5942.0,322441.0,0.24875455268556118,13.498597563528278
TUL,5481.0,1275.0,65688.0,0.2326217843459223,11.984674329501916
TUS,3665.0,997.0,47929.0,0.27203274215552525,13.077489768076399
VPS,1547.0,266.0,12578.0,0.17194570135746606,8.130575307045895
