airport,arr_flights,delay_rate,cancellation_rate,avg_delay_time,carrier_ct_rate,weather_ct_rate,nas_ct_rate,security_ct_rate,late_aircraft_ct_rate,season,airport_size
ORF,233.0,0.40772532188841204,0.008583690987124463,58.28421052631579,0.15824034334763948,0.011802575107296138,0.028798283261802574,0.0,0.20888412017167382,Summer,Small
PBI,185.0,0.2972972972972973,0.0,61.67272727272727,0.1476756756756757,0.007243243243243244,0.0414054054054054,0.0,0.10097297297297297,Summer,Small
PDX,1200.0,0.26416666666666666,0.0,51.678233438485805,0.10301666666666667,0.0039,0.017175,0.0004416666666666667,0.13963333333333333,Summer,Large
PHL,702.0,0.33475783475783477,0.002849002849002849,57.242553191489364,0.1117948717948718,0.013732193732193733,0.04757834757834758,0.002407407407407407,0.15924501424501425,Summer,Medium
PHX,2894.5,0.25795121951219513,0.0046829268292682925,54.5786686838124,0.06959024390243902,0.003287804878048781,0.03353951219512195,0.0006380487804878049,0.15089756097560977,Summer,Large
PIT,881.0,0.2849035187287174,0.009080590238365494,66.58964143426294,0.08845629965947788,0.008933030646992055,0.02510783200908059,0.00012485811577752555,0.16228149829738933,Summer,Medium
PNS,97.0,0.21649484536082475,0.0,71.11433172302738,0.08092783505154638,0.0,0.00845360824742268,0.0,0.12711340206185567,Summer,Small
PVD,569.0,0.31282952548330406,0.0035149384885764497,56.08426966292135,0.12400702987697716,0.012337434094903338,0.06353251318101932,0.0,0.11295254833040422,Summer,Medium
PWM,123.0,0.3902439024390244,0.0,56.041666666666664,0.1838211382113821,0.0291869918699187,0.025528455284552845,0.0,0.15178861788617887,Summer,Small
RDU,949.0,0.28240252897787144,0.007376185458377239,56.190298507462686,0.09406743940990515,0.00892518440463646,0.0298840885142255,0.001001053740779768,0.14852476290832453,Summer,Medium
RIC,123.0,0.3902439024390244,0.0,65.89583333333333,0.1338211382113821,0.014959349593495935,0.02788617886178862,0.004471544715447155,0.20910569105691057,Summer,Small
RNO,635.0,0.26614173228346455,0.007874015748031496,55.414201183431956,0.08968503937007874,0.0026929133858267715,0.019196850393700785,0.0,0.15456692913385828,Summer,Medium
ROC,182.0,0.4065934065934066,0.005494505494505495,51.63513513513514,0.1402747252747253,0.008791208791208791,0.03642857142857143,0.0,0.2210989010989011,Summer,Small
RSW,467.0,0.22055674518201285,0.008565310492505354,59.85436893203884,0.07419700214132761,0.006167023554603854,0.022612419700214135,0.0,0.11758029978586723,Summer,Medium
SAN,2894.5,0.26615589606928713,0.009993337774816789,52.65707133917397,0.08284810126582279,0.004013990672884744,0.04234510326449034,0.00031312458361092604,0.13663557628247835,Summer,Large
SAT,1412.0,0.26628895184135976,0.0056657223796034,55.819148936170215,0.10553116147308782,0.0034065155807365436,0.026515580736543906,0.0,0.13083569405099152,Summer,Large
SDF,436.0,0.23853211009174313,0.0045871559633027525,55.31730769230769,0.11348623853211008,0.006743119266055046,0.028784403669724772,0.0,0.0894954128440367,Summer,Medium
SEA,1438.0,0.24895688456189152,0.002086230876216968,54.75139664804469,0.10019471488178026,0.000584144645340751,0.03472183588317107,0.0,0.11345618915159945,Summer,Large
